ticker,name,market,cap,cap_label,cur,rs_2w,rs_6w,accel,ret_2w,vr,pct52,high52_date,above200,theme,pop_rank
047050,포스코인터내셔널,KOSPI,14935844701200.0,MegaCap,54300.0,5.45,18.66,-13.21,4.02,0.93,-37.8,26.04.30,False,리비안(RIVIAN),
036810,에프에스티,KOSDAQ,935270884800.0,MidCap,27150.0,48.9,-15.33,64.23,47.47,1.23,-45.2,26.01.28,False,반도체 장비,
090360,로보스타,KOSDAQ,687375000000.0,MidCap,86000.0,41.49,-14.85,56.34,40.07,1.66,-45.8,26.06.02,False,반도체 장비,
131290,티에스이,KOSDAQ,1867169215200.0,LargeCap,259000.0,40.22,0.88,39.34,38.8,0.84,-9.0,26.07.15,False,반도체 장비,
030530,원익홀딩스,KOSDAQ,2664710344500.0,LargeCap,20800.0,37.55,-16.29,53.84,36.13,2.44,-57.3,25.12.30,False,반도체 장비,
122640,예스티,KOSDAQ,614874844800.0,MidCap,29100.0,36.77,-20.1,56.87,35.35,0.43,-27.0,26.06.18,False,반도체 장비,
090360,로보스타,KOSDAQ,687375000000.0,MidCap,86000.0,41.49,-14.85,56.34,40.07,1.66,-45.8,26.06.02,False,3D 프린터,
090710,휴림로봇,KOSDAQ,1542192413270.0,LargeCap,7720.0,26.14,-14.93,41.07,24.72,0.97,-64.1,26.01.21,False,3D 프린터,
039440,에스티아이,KOSDAQ,603224128300.0,MidCap,23950.0,10.54,-1.73,12.27,9.11,0.81,-41.4,26.05.04,False,3D 프린터,
376900,로킷헬스케어,KOSDAQ,1282707228500.0,LargeCap,33700.0,6.25,-3.08,9.33,4.82,0.65,-77.2,26.04.01,False,3D 프린터,
006110,삼아알미늄,KOSPI,1097962833000.0,LargeCap,54300.0,79.75,-18.39,98.14,78.33,1.18,-43.7,26.05.22,False,2차전지(소재/부품),
354320,알멕,KOSDAQ,648086033400.0,MidCap,33650.0,44.62,-28.42,73.04,43.19,0.94,-66.8,26.04.29,False,2차전지(소재/부품),
066970,엘앤에프,KOSPI,8436452827000.0,LargeCap,102600.0,41.4,-16.74,58.14,39.97,1.27,-51.8,26.05.04,False,2차전지(소재/부품),
348370,엔켐,KOSDAQ,1032007770300.0,LargeCap,23950.0,38.83,-18.55,57.38,37.41,1.95,-75.1,26.01.30,False,2차전지(소재/부품),
078600,대주전자재료,KOSDAQ,2586985625000.0,LargeCap,94800.0,35.13,-13.35,48.48,33.71,1.54,-48.1,26.04.24,False,2차전지(소재/부품),
160190,하이젠알앤엠,KOSDAQ,1362160800000.0,LargeCap,21150.0,52.6,-20.86,73.46,51.18,2.6,-75.2,26.01.29,False,로봇(산업용/협동로봇 등),
125490,한라캐스트,KOSDAQ,651566983200.0,MidCap,10830.0,49.98,-9.31,59.29,48.56,2.25,-54.9,26.01.30,False,로봇(산업용/협동로봇 등),
108490,로보티즈,KOSDAQ,4814833698000.0,LargeCap,261000.0,43.43,-12.89,56.32,42.0,1.5,-35.6,26.06.02,False,로봇(산업용/협동로봇 등),
090360,로보스타,KOSDAQ,687375000000.0,MidCap,86000.0,41.49,-14.85,56.34,40.07,1.66,-45.8,26.06.02,False,로봇(산업용/협동로봇 등),
030530,원익홀딩스,KOSDAQ,2664710344500.0,LargeCap,20800.0,37.55,-16.29,53.84,36.13,2.44,-57.3,25.12.30,False,로봇(산업용/협동로봇 등),
204270,제이앤티씨,KOSDAQ,1147135080780.0,LargeCap,18370.0,40.07,7.94,32.13,38.64,0.7,-33.7,25.11.06,False,스마트폰,
033240,자화전자,KOSPI,1072713174300.0,LargeCap,30250.0,37.99,-7.24,45.23,36.57,1.15,-45.7,26.05.15,False,스마트폰,
025320,시노펙스,KOSDAQ,562142468300.0,MidCap,4650.0,35.62,4.07,31.55,34.2,1.31,-41.8,26.02.04,False,스마트폰,
094170,동운아나텍,KOSDAQ,993221960000.0,MidCap,34550.0,29.86,-2.98,32.84,28.44,0.98,-37.3,26.05.11,False,스마트폰,
006400,삼성SDI,KOSPI,57376897360000.0,MegaCap,487000.0,24.09,2.0,22.09,22.67,0.82,-31.6,26.04.29,False,스마트폰,10.0
002710,TCC스틸,KOSPI,559662430950.0,MidCap,10310.0,26.24,-9.02,35.26,24.82,0.84,-54.4,26.04.28,False,철강 중소형,
092790,넥스틸,KOSPI,568143700000.0,MidCap,13090.0,22.63,-11.59,34.22,21.2,1.79,-40.1,26.04.29,False,철강 중소형,
100090,SK오션플랜트,KOSPI,1515094628250.0,LargeCap,14340.0,15.96,-1.64,17.6,14.54,0.46,-52.5,26.04.03,False,철강 중소형,
