date,ticker,name,label,r5,r10,lgbm_score,fold,score_bin
2017-03-24,084010,Daehan Steel,0,3.21,-1.38,0.0616,1,~0.2
2017-03-27,084010,Daehan Steel,0,0.45,-6.82,0.0889,1,~0.2
2017-03-27,094850,Very Good Tour Co. Ltd,1,8.17,13.46,0.1759,1,~0.2
2017-03-29,83450,Global Standard Technology Limited,1,10.88,10.0,0.1942,1,~0.2
2017-03-29,006360,GS Engineering & Construction Corp.,0,0.32,3.04,0.1099,1,~0.2
2017-03-30,83450,Global Standard Technology Limited,1,10.29,8.68,0.1192,1,~0.2
2017-04-06,44490,Taewoong Co.Ltd,0,-3.67,-0.39,0.1391,1,~0.2
2017-04-07,44490,Taewoong Co.Ltd,0,-7.5,-0.58,0.1233,1,~0.2
2017-04-11,69260,Huchems,0,-1.71,1.71,0.0747,1,~0.2
2017-04-12,003160,DI Corp.,1,1.38,28.88,0.1071,1,~0.2
2017-04-12,69260,Huchems,0,-1.91,1.06,0.1046,1,~0.2
2017-04-13,69260,Huchems,0,2.14,0.21,0.0551,1,~0.2
2017-04-13,003160,DI Corp.,1,0.39,34.24,0.0889,1,~0.2
2017-04-18,097520,MCNEX Co. Ltd,0,-6.32,-10.47,0.0795,1,~0.2
2017-04-19,73540,Frtek Co.Ltd,0,1.37,-4.0,0.1575,1,~0.2
2017-04-20,003160,DI Corp.,1,33.72,29.07,0.3325,1,0.3~0.4
2017-04-20,69260,Huchems,0,-1.89,4.19,0.1166,1,~0.2
2017-04-21,73540,Frtek Co.Ltd,0,0.76,-4.29,0.1095,1,~0.2
2017-04-21,47040,Daewoo Engineering & Construction Co. Ltd.,1,2.53,8.86,0.28,1,0.2~0.3
2017-04-24,122990,WiSoL CO.LTD,0,-5.76,-6.97,0.0687,1,~0.2
2017-04-24,47040,Daewoo Engineering & Construction Co. Ltd.,0,1.25,7.34,0.3711,1,0.3~0.4
2017-04-25,122990,WiSoL CO.LTD,0,-5.47,-6.69,0.0934,1,~0.2
2017-04-25,53610,Protec Co. Ltd,0,4.32,5.32,0.1963,1,~0.2
2017-04-26,53610,Protec Co. Ltd,0,5.35,6.35,0.1057,1,~0.2
2017-04-28,016250,SGC eTEC E&C Co. Ltd,0,-0.55,1.1,0.157,1,~0.2
2017-04-28,53610,Protec Co. Ltd,0,2.63,3.62,0.0729,1,~0.2
2017-05-02,53610,Protec Co. Ltd,1,3.33,10.33,0.0617,1,~0.2
2017-05-02,67170,Autech Corporation,1,8.23,23.81,0.1594,1,~0.2
2017-05-02,016250,SGC eTEC E&C Co. Ltd,0,-5.65,-3.56,0.0702,1,~0.2
2017-05-04,016250,SGC eTEC E&C Co. Ltd,0,-4.99,-2.29,0.1302,1,~0.2
2017-05-04,67170,Autech Corporation,1,14.22,26.72,0.1448,1,~0.2
2017-05-04,000990,Dongbu HiTek Co. Ltd.,0,-0.92,-3.21,0.0786,1,~0.2
2017-05-08,016250,SGC eTEC E&C Co. Ltd,0,-0.41,-0.28,0.1657,1,~0.2
2017-05-16,016250,SGC eTEC E&C Co. Ltd,1,0.14,8.22,0.0972,1,~0.2
2017-05-16,007815,Korea Circuit Co. Ltd. Pfd. Series 1,1,0.22,18.53,0.0979,1,~0.2
2017-05-17,007815,Korea Circuit Co. Ltd. Pfd. Series 1,1,1.6,24.06,0.1562,1,~0.2
2017-05-18,007815,Korea Circuit Co. Ltd. Pfd. Series 1,1,4.79,19.79,0.0633,1,~0.2
2017-05-19,007815,Korea Circuit Co. Ltd. Pfd. Series 1,1,5.16,24.3,0.1488,1,~0.2
2017-05-22,094970,JMT Co.Ltd,0,4.49,6.14,0.0596,1,~0.2
2017-05-23,69260,Huchems,0,3.64,1.62,0.0569,1,~0.2
2017-05-24,69260,Huchems,0,1.8,-1.8,0.031,1,~0.2
2017-05-25,69260,Huchems,0,1.21,3.42,0.1333,1,~0.2
2017-05-26,69260,Huchems,0,0.79,2.38,0.0989,1,~0.2
2017-06-05,130580,Nice D&B Co. Ltd,0,-0.89,-0.59,0.0802,1,~0.2
2017-06-07,006800,Mirae Asset Daewoo Securities Co Ltd,0,5.92,2.6,0.0889,1,~0.2
2017-06-07,130580,Nice D&B Co. Ltd,0,-1.05,-1.35,0.1221,1,~0.2
2017-06-08,006800,Mirae Asset Daewoo Securities Co Ltd,0,4.83,4.32,0.0776,1,~0.2
2017-06-08,130580,Nice D&B Co. Ltd,0,-0.75,-0.15,0.0501,1,~0.2
2017-06-12,130580,Nice D&B Co. Ltd,0,-0.89,-1.48,0.077,1,~0.2
2017-06-14,023410,Eugene Corporation,0,-4.11,-3.8,0.1334,1,~0.2
2017-06-19,095610,TES Co. Ltd,0,2.78,-5.57,0.1031,1,~0.2
2017-06-19,53280,YES24 Co.Ltd,0,1.25,-0.28,0.133,1,~0.2
2017-06-20,53280,YES24 Co.Ltd,0,-0.41,-0.83,0.1577,1,~0.2
2017-06-21,53280,YES24 Co.Ltd,0,-0.41,6.08,0.1823,1,~0.2
2017-06-22,53280,YES24 Co.Ltd,0,-0.55,7.31,0.0839,1,~0.2
2017-06-23,53280,YES24 Co.Ltd,1,-1.77,10.49,0.095,1,~0.2
2017-06-26,53280,YES24 Co.Ltd,1,-1.51,10.01,0.0848,1,~0.2
2017-06-27,000370,Hanwha General,1,5.93,15.33,0.126,1,~0.2
2017-06-27,53280,YES24 Co.Ltd,1,-0.42,15.67,0.1627,1,~0.2
2017-06-28,006090,Oyang Corp.,0,-0.32,-5.71,0.153,1,~0.2
2017-06-28,36890,JINSUNG T.E.C. Inc,0,-1.28,-4.8,0.1488,1,~0.2
2017-06-28,53280,YES24 Co.Ltd,1,6.52,16.5,0.2107,1,0.2~0.3
2017-06-29,53280,YES24 Co.Ltd,1,7.91,17.61,0.1485,1,~0.2
2017-06-29,006090,Oyang Corp.,0,-2.81,-8.44,0.119,1,~0.2
2017-06-29,36890,JINSUNG T.E.C. Inc,0,-0.75,-4.51,0.097,1,~0.2
2017-06-30,53280,YES24 Co.Ltd,1,12.48,14.7,0.1957,1,~0.2
2017-06-30,088350,Hanwha Life,0,4.17,5.89,0.188,1,~0.2
2017-07-03,60150,INSUN Environmental New Technology Co. Ltd,0,3.2,1.11,0.2025,1,0.2~0.3
2017-07-03,004800,Hyosung Corp,0,-5.49,-3.18,0.1901,1,~0.2
2017-07-03,026890,Digital Power Communications Co. Ltd.,0,0.68,-0.11,0.0781,1,~0.2
2017-07-05,36890,JINSUNG T.E.C. Inc,0,-3.56,-3.89,0.1062,1,~0.2
2017-07-06,085670,NewFlex Technology Co. Ltd,0,-7.45,-0.69,0.1758,1,~0.2
2017-07-06,095610,TES Co. Ltd,1,7.35,8.89,0.1861,1,~0.2
2017-07-06,36890,JINSUNG T.E.C. Inc,0,-3.78,-4.43,0.0758,1,~0.2
2017-07-07,095610,TES Co. Ltd,0,6.81,6.3,0.2416,1,0.2~0.3
2017-07-07,60150,INSUN Environmental New Technology Co. Ltd,0,-0.55,7.02,0.2078,1,0.2~0.3
2017-07-07,026890,Digital Power Communications Co. Ltd.,0,-2.0,-0.78,0.0734,1,~0.2
2017-07-10,160980,Cymechs Inc,1,4.44,12.15,0.1807,1,~0.2
2017-07-10,026890,Digital Power Communications Co. Ltd.,0,-0.78,0.67,0.0884,1,~0.2
2017-07-11,026890,Digital Power Communications Co. Ltd.,0,-2.33,5.0,0.0812,1,~0.2
2017-07-11,160980,Cymechs Inc,0,6.99,7.23,0.1718,1,~0.2
2017-07-12,160980,Cymechs Inc,0,9.37,5.62,0.1773,1,~0.2
2017-07-13,33160,MK Electron Co. Ltd,1,11.65,11.65,0.1501,1,~0.2
2017-07-13,30530,Wonik Holdings Co. Ltd,0,6.09,4.42,0.1485,1,~0.2
2017-07-14,33160,MK Electron Co. Ltd,0,6.7,3.83,0.1874,1,~0.2
2017-07-14,30530,Wonik Holdings Co. Ltd,0,5.83,0.95,0.1762,1,~0.2
2017-07-14,105630,Hansae Co,0,-5.99,-6.51,0.0606,1,~0.2
2017-07-26,004020,Hyundai Steel Co.,0,-2.55,-1.75,0.0466,1,~0.2
2017-07-27,004020,Hyundai Steel Co.,0,-4.54,-4.69,0.0737,1,~0.2
2017-07-27,104700,KISCO Corp,0,-4.82,-8.11,0.0616,1,~0.2
2017-07-27,011790,SKC Co. Ltd.,0,-1.88,1.88,0.0856,1,~0.2
2017-07-28,004020,Hyundai Steel Co.,0,-2.04,-7.55,0.0419,1,~0.2
2017-07-28,104700,KISCO Corp,0,-2.55,-7.42,0.0303,1,~0.2
2017-07-31,004020,Hyundai Steel Co.,0,0.64,-6.38,0.0512,1,~0.2
2017-08-01,004020,Hyundai Steel Co.,0,-3.63,-10.09,0.0438,1,~0.2
2017-08-01,011790,SKC Co. Ltd.,0,-4.11,-0.93,0.1458,1,~0.2
2017-08-02,011790,SKC Co. Ltd.,0,0.54,2.01,0.1034,1,~0.2
2017-08-04,011790,SKC Co. Ltd.,0,-1.33,-1.2,0.1774,1,~0.2
2017-08-07,004020,Hyundai Steel Co.,0,-6.97,-5.39,0.0867,1,~0.2
2017-08-09,011790,SKC Co. Ltd.,0,1.46,-0.93,0.1253,1,~0.2
